#           x           U_x           U_y           U_z
        0.005    0.00131263      0.134277             0
       0.0075    0.00139625      0.137597             0
         0.01    0.00147987      0.140915             0
       0.0125    0.00142029      0.136318             0
        0.015     0.0013607      0.131721             0
       0.0175     0.0013463      0.123587             0
         0.02     0.0013319      0.115453             0
       0.0225    0.00119217      0.105957             0
        0.025    0.00105244     0.0964607             0
       0.0275   0.000859002     0.0868641             0
         0.03   0.000665567     0.0772674             0
       0.0325   0.000426582     0.0681303             0
        0.035   0.000187598     0.0589931             0
       0.0375  -6.90112e-05     0.0504558             0
         0.04   -0.00032562     0.0419185             0
       0.0425  -0.000576719     0.0338715             0
        0.045  -0.000827817     0.0258245             0
       0.0475   -0.00106044     0.0180482             0
         0.05   -0.00129306      0.010272             0
       0.0525   -0.00149822    0.00252603             0
        0.055   -0.00170339   -0.00521998             0
       0.0575   -0.00187883    -0.0131489             0
         0.06   -0.00205426    -0.0210777             0
       0.0625   -0.00220231     -0.029358             0
        0.065   -0.00235036    -0.0376382             0
       0.0675   -0.00251682    -0.0464042             0
         0.07   -0.00268328    -0.0551702             0
       0.0725   -0.00287213    -0.0646761             0
        0.075   -0.00306098    -0.0741821             0
       0.0775   -0.00371101    -0.0851388             0
         0.08   -0.00436104    -0.0960956             0
       0.0825   -0.00469885     -0.110093             0
        0.085   -0.00503667     -0.124089             0
       0.0875   -0.00650255     -0.142623             0
         0.09   -0.00796842     -0.161158             0
       0.0925   -0.00704773     -0.183574             0
        0.095   -0.00612704     -0.205991             0
