#           y           U_x           U_y           U_z
        0.005     -0.162826    0.00564274             0
       0.0075     -0.159502     0.0074734             0
         0.01     -0.156178    0.00930406             0
       0.0125     -0.145164     0.0100177             0
        0.015     -0.134149     0.0107313             0
       0.0175     -0.121734     0.0109087             0
         0.02     -0.109319     0.0110861             0
       0.0225    -0.0978141     0.0109619             0
        0.025    -0.0863087     0.0108378             0
       0.0275    -0.0761326     0.0105904             0
         0.03    -0.0659565      0.010343             0
       0.0325    -0.0569732     0.0101432             0
        0.035    -0.0479899    0.00994352             0
       0.0375    -0.0398367    0.00986919             0
         0.04    -0.0316835    0.00979485             0
       0.0425    -0.0239964    0.00985451             0
        0.045    -0.0163092    0.00991416             0
       0.0475   -0.00880115     0.0100931             0
         0.05   -0.00129306      0.010272             0
       0.0525    0.00626615     0.0105598             0
        0.055     0.0138254     0.0108475             0
       0.0575     0.0216346     0.0112321             0
         0.06     0.0294438     0.0116167             0
       0.0625     0.0376679     0.0120935             0
        0.065     0.0458921     0.0125704             0
       0.0675     0.0546179     0.0130817             0
         0.07     0.0633436      0.013593             0
       0.0725     0.0725029     0.0141277             0
        0.075     0.0816622     0.0146623             0
       0.0775     0.0909688     0.0150046             0
         0.08      0.100275     0.0153469             0
       0.0825      0.109106      0.015599             0
        0.085      0.117936     0.0158512             0
       0.0875      0.127136     0.0146996             0
         0.09      0.136335      0.013548             0
       0.0925      0.161913     0.0125058             0
        0.095      0.187491     0.0114635             0
       0.0975      0.593745    0.00573176             0
          0.1             1             0             0
