#           x             T           CH4            O2            N2           CO2           H2O
       0.0006       293.005      0.999995   1.32321e-11   4.76245e-06   6.27127e-09   5.13423e-09
       0.0007       293.007      0.999992   2.10755e-11    7.3388e-06   1.05097e-08   8.60417e-09
       0.0008       293.009       0.99999   2.89189e-11   9.91516e-06   1.47481e-08   1.20741e-08
       0.0009       293.013      0.999985   4.45899e-11   1.46893e-05   2.41093e-08   1.97381e-08
        0.001       293.018       0.99998    6.0261e-11   1.94635e-05   3.34705e-08    2.7402e-08
       0.0011       293.025      0.999972   9.12414e-11   2.81502e-05   5.40001e-08   4.42094e-08
       0.0012       293.033      0.999963   1.22222e-10   3.68369e-05   7.45297e-08   6.10167e-08
       0.0013       293.046      0.999947    1.8292e-10   5.24144e-05   1.19196e-07    9.7585e-08
       0.0014       293.059      0.999932   2.43619e-10   6.79919e-05   1.63863e-07   1.34153e-07
       0.0015       293.084      0.999904   3.61516e-10   9.55795e-05   2.60164e-07   2.12994e-07
       0.0016       293.108      0.999877   4.79413e-10   0.000123167   3.56465e-07   2.91835e-07
       0.0017        293.15      0.999828   7.06309e-10   0.000171463   5.61916e-07   4.60035e-07
       0.0018       293.193      0.999779   9.33204e-10   0.000219759   7.67367e-07   6.28235e-07
       0.0019       293.267      0.999694   1.36539e-09   0.000303349   1.20042e-06   9.82769e-07
        0.002       293.341       0.99961   1.79757e-09    0.00038694   1.63346e-06    1.3373e-06
       0.0021       293.467      0.999465   2.61107e-09   0.000529904   2.53375e-06   2.07436e-06
       0.0022       293.593      0.999321   3.42458e-09   0.000672869   3.43404e-06   2.81142e-06
       0.0023       293.807      0.999076   4.93499e-09   0.000914235   5.27658e-06   4.31989e-06
       0.0024        294.02      0.998831   6.44541e-09     0.0011556   7.11912e-06   5.82836e-06
       0.0025       294.378      0.998423   9.20421e-09    0.00155706   1.08218e-05   8.85975e-06
       0.0026       294.735      0.998015    1.1963e-08    0.00195851   1.45246e-05   1.18911e-05
       0.0027       295.319      0.997349   1.68781e-08    0.00261124    2.1768e-05   1.78213e-05
       0.0028       295.903      0.996684   2.17932e-08    0.00326397   2.90114e-05   2.37514e-05
       0.0029       296.835      0.995624   3.03064e-08    0.00429809    4.2765e-05   3.50114e-05
        0.003       297.767      0.994565   3.88196e-08    0.00533221   5.65187e-05   4.62713e-05
       0.0031       299.218      0.992925   5.31281e-08    0.00692628   8.18179e-05   6.69836e-05
       0.0032       300.668      0.991285   6.74366e-08    0.00852036   0.000107117   8.76958e-05
       0.0033        302.86      0.988821    9.0684e-08     0.0109026   0.000152027   0.000124463
       0.0034       305.052      0.986357   1.13931e-07     0.0132849   0.000196938   0.000161231
       0.0035       308.259      0.982779   1.50298e-07     0.0167238   0.000273559    0.00022396
       0.0036       311.466        0.9792   1.86665e-07     0.0201626    0.00035018   0.000286689
       0.0037       315.992      0.974195   2.41236e-07     0.0249407   0.000475323   0.000389142
       0.0038       320.518      0.969189   2.95808e-07     0.0297187   0.000600465   0.000491596
       0.0039       326.661      0.962461   3.74131e-07     0.0360915   0.000795504   0.000651272
        0.004       332.804      0.955734   4.52455e-07     0.0424643   0.000990542   0.000810949
       0.0041        340.81      0.947059   5.59811e-07     0.0506124    0.00128007    0.00104798
       0.0042       348.817      0.938384   6.67168e-07     0.0587604    0.00156959    0.00128502
       0.0043       358.839       0.92765   8.07741e-07     0.0687505    0.00197894    0.00162015
       0.0044        368.86      0.916915   9.48313e-07     0.0787406    0.00238829    0.00195528
       0.0045       380.929      0.904141   1.12452e-06     0.0905104    0.00294056    0.00240741
       0.0046       392.999      0.891366   1.30072e-06       0.10228    0.00349282    0.00285954
       0.0046       392.999      0.891366   1.30072e-06       0.10228    0.00349282    0.00285954
       0.0046       392.999      0.891366   1.30072e-06       0.10228    0.00349282    0.00285954
       0.0047       407.035      0.876699   1.51291e-06       0.11565    0.00420621    0.00344358
       0.0048       421.071      0.862031    1.7251e-06       0.12902    0.00491959    0.00402763
       0.0049        436.91      0.845713   1.97168e-06      0.143726    0.00580582    0.00475318
        0.005        452.75      0.829395   2.21827e-06      0.158432    0.00669205    0.00547873
       0.0051       470.186      0.811729   2.49611e-06      0.174162    0.00775593    0.00634971
       0.0052       487.623      0.794064   2.77395e-06      0.189893     0.0088198    0.00722069
       0.0053       506.446      0.775375   3.07889e-06      0.206326     0.0100597    0.00823578
       0.0054        525.27      0.756686   3.38382e-06      0.222759     0.0112996    0.00925087
       0.0055       545.291      0.737296   3.71113e-06      0.239587     0.0127085     0.0104043
       0.0056       565.312      0.717906   4.03843e-06      0.256414     0.0141173     0.0115577
       0.0056       565.312      0.717906   4.03843e-06      0.256414     0.0141173     0.0115577
       0.0056       565.312      0.717906   4.03843e-06      0.256414     0.0141173     0.0115577
       0.0057       586.376      0.698113   4.38321e-06      0.273359     0.0156839     0.0128402
       0.0058        607.44      0.678319   4.72799e-06      0.290303     0.0172505     0.0141228
       0.0059       629.426      0.658388   5.08541e-06      0.307124     0.0189604     0.0155227
        0.006       651.413      0.638457   5.44282e-06      0.323945     0.0206704     0.0169227
