#           x             T           CH4            O2            N2           CO2           H2O
       0.0006           293             1   1.38142e-18   7.95196e-14   3.32883e-15   2.72529e-15
       0.0007           293             1   3.40704e-18   1.86129e-13   8.36241e-15   6.84623e-15
       0.0008           293             1   5.43267e-18   2.92738e-13    1.3396e-14   1.09672e-14
       0.0009           293             1   1.32687e-17   6.77236e-13   3.33159e-14   2.72754e-14
        0.001           293             1   2.11048e-17   1.06173e-12   5.32359e-14   4.35837e-14
       0.0011           293             1   5.11954e-17   2.44601e-12   1.31402e-13   1.07577e-13
       0.0012           293             1   8.12861e-17    3.8303e-12   2.09567e-13   1.71571e-13
       0.0013           293             1   1.95777e-16    8.7929e-12   5.13166e-13   4.20125e-13
       0.0014           293             1   3.10268e-16   1.37555e-11   8.16765e-13   6.68679e-13
       0.0015           293             1   7.41098e-16   3.14248e-11   1.98188e-12   1.62255e-12
       0.0016           293             1   1.17193e-15   4.90941e-11   3.14699e-12   2.57641e-12
       0.0017           293             1   2.77226e-15   1.11424e-10   7.55694e-12   6.18679e-12
       0.0018           293             1    4.3726e-15   1.73754e-10   1.19669e-11   9.79718e-12
       0.0019           293             1   1.02291e-14   3.91075e-10   2.83988e-11   2.32498e-11
        0.002           293             1   1.60856e-14   6.08396e-10   4.48307e-11   3.67024e-11
       0.0021           293             1   3.71589e-14   1.35551e-09    1.0499e-10   8.59544e-11
       0.0022           293             1   5.82322e-14   2.10263e-09   1.65149e-10   1.35206e-10
       0.0023           293             1   1.32639e-13   4.62926e-09   3.81139e-10   3.12035e-10
       0.0024           293             1   2.07046e-13   7.15588e-09   5.97128e-10   4.88864e-10
       0.0025           293             1   4.64309e-13   1.55414e-08   1.35606e-09   1.11019e-09
       0.0026           293             1   7.21573e-13    2.3927e-08   2.11498e-09   1.73152e-09
       0.0027           293             1   1.59075e-12    5.1175e-08   4.71935e-09   3.86369e-09
       0.0028           293             1   2.45992e-12    7.8423e-08   7.32372e-09   5.99587e-09
       0.0029           293             1   5.32301e-12     1.649e-07   1.60334e-08   1.31264e-08
        0.003           293             1    8.1861e-12   2.51377e-07   2.47431e-08    2.0257e-08
       0.0031       293.001             1   1.73605e-11   5.18781e-07   5.30653e-08   4.34441e-08
       0.0032       293.001      0.999999   2.65348e-11   7.86185e-07   8.13875e-08   6.66312e-08
       0.0033       293.002      0.999999   5.50644e-11   1.58978e-06    1.7073e-07   1.39775e-07
       0.0034       293.004      0.999997    8.3594e-11   2.39337e-06   2.60072e-07   2.12918e-07
       0.0035       293.007      0.999994   1.69478e-10   4.73422e-06   5.32796e-07   4.36196e-07
       0.0036        293.01      0.999991   2.55362e-10   7.07507e-06   8.05521e-07   6.59474e-07
       0.0037       293.019      0.999983   5.04986e-10   1.36668e-05   1.60907e-06   1.31733e-06
       0.0038       293.028      0.999975   7.54611e-10   2.02585e-05   2.41261e-06   1.97518e-06
       0.0039       293.053      0.999953   1.45318e-09   3.81507e-05   4.69141e-06   3.84082e-06
        0.004       293.077      0.999931   2.15175e-09   5.60428e-05   6.97021e-06   5.70646e-06
       0.0041       293.144      0.999873   4.02827e-09    0.00010271   1.31719e-05   1.07837e-05
       0.0042       293.209      0.999815   5.90479e-09   0.000149378   1.93735e-05    1.5861e-05
